"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x552561770","x1427569300261507073",2021-08-17 09:53:38,"InesArrimadas","La falta de transparencia y las chapuzas de Marlaska restan toda credibilidad al Gobierno. 
Menos lecciones vacías de moralidad y más respeto a la ley para devolver a los menores de Ceuta. Estos escándalos vulneran derechos y perjudican la imagen de España https://t.co/qvyplGnpPm","Twitter for Android",280,,,,FALSE,FALSE,248,118,,,,,"elconfidencial.com/espana/2021-08…","https://t.co/qvyplGnpPm","https://www.elconfidencial.com/espana/2021-08-17/enesima-polemica-marlaska-devoluciones-menores_3235162/",,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/InesArrimadas/status/1427569300261507073","Inés Arrimadas","Barcelona","Derecho y ADE. Consultora. Presidenta de @CiudadanosCs <U+0001F34A> Canal de Telegram: https://t.co/eaENMRStZM","https://t.co/2fZ28o6US7",FALSE,690250,1554,2666,7696,1494,2012-04-13 09:35:57,TRUE,"https://t.co/2fZ28o6US7","https://www.instagram.com/inesarrimadas/",,"https://pbs.twimg.com/profile_banners/552561770/1626639609","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1412735838904107014/1yMF5Wpe_normal.jpg"
"x552561770","x1427541628428955655",2021-08-17 08:03:41,"InesArrimadas","4 años después de los atentados del #17A en Barcelona y Cambrils, los que amamos la libertad decimos con más fuerza que nunca que el terror jamás vencerá. 

#NoOlvidamos a las víctimas. Su memoria prueba la importancia de permanecer unidos frente a la barbarie del terrorismo<U+0001F1EA><U+0001F1F8><U+0001F5A4> https://t.co/Kgy3eITxns","Twitter Web App",278,,,,FALSE,FALSE,399,212,,,"17A NoOlvidamos",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1427541516575203329/pu/img/krZqunIPpBrROHPe.jpg","https://t.co/Kgy3eITxns","https://twitter.com/InesArrimadas/status/1427541628428955655/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1427541516575203329/pu/img/krZqunIPpBrROHPe.jpg","https://t.co/Kgy3eITxns","https://twitter.com/InesArrimadas/status/1427541628428955655/video/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/InesArrimadas/status/1427541628428955655","Inés Arrimadas","Barcelona","Derecho y ADE. Consultora. Presidenta de @CiudadanosCs <U+0001F34A> Canal de Telegram: https://t.co/eaENMRStZM","https://t.co/2fZ28o6US7",FALSE,690250,1554,2666,7696,1494,2012-04-13 09:35:57,TRUE,"https://t.co/2fZ28o6US7","https://www.instagram.com/inesarrimadas/",,"https://pbs.twimg.com/profile_banners/552561770/1626639609","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1412735838904107014/1yMF5Wpe_normal.jpg"
"x552561770","x1427392167778168832",2021-08-16 22:09:47,"InesArrimadas","Es urgente una respuesta coordinada de la Unión Europea ante el avance talibán en Afganistán. Se necesitan evacuaciones inmediatas y agilizar los trámites humanitarios para salvar vidas. Pedimos la comparecencia urgente del Gobierno de España para que explique su plan<U+0001F447> https://t.co/FIWzcAkCEM","Twitter Web App",269,,,,FALSE,FALSE,650,241,,,,,,,,"http://pbs.twimg.com/media/E88dgUkWUAcb_TM.jpg","https://t.co/FIWzcAkCEM","https://twitter.com/InesArrimadas/status/1427392167778168832/photo/1","photo","http://pbs.twimg.com/media/E88dgUkWUAcb_TM.jpg http://pbs.twimg.com/media/E88dh6JWEAIeIdl.jpg http://pbs.twimg.com/media/E88djPKXIAI0Il7.jpg http://pbs.twimg.com/media/E88dmOnXsAEBMxC.jpg","https://t.co/FIWzcAkCEM https://t.co/FIWzcAkCEM https://t.co/FIWzcAkCEM https://t.co/FIWzcAkCEM","https://twitter.com/InesArrimadas/status/1427392167778168832/photo/1 https://twitter.com/InesArrimadas/status/1427392167778168832/photo/1 https://twitter.com/InesArrimadas/status/1427392167778168832/photo/1 https://twitter.com/InesArrimadas/status/1427392167778168832/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/InesArrimadas/status/1427392167778168832","Inés Arrimadas","Barcelona","Derecho y ADE. Consultora. Presidenta de @CiudadanosCs <U+0001F34A> Canal de Telegram: https://t.co/eaENMRStZM","https://t.co/2fZ28o6US7",FALSE,690250,1554,2666,7696,1494,2012-04-13 09:35:57,TRUE,"https://t.co/2fZ28o6US7","https://www.instagram.com/inesarrimadas/",,"https://pbs.twimg.com/profile_banners/552561770/1626639609","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1412735838904107014/1yMF5Wpe_normal.jpg"
"x552561770","x1427025515286827011",2021-08-15 21:52:50,"InesArrimadas","Siguiendo con preocupación los incendios que asolan nuestro país, especialmente en la provincia de Ávila. Desde Cs enviamos todo nuestro apoyo a los afectados y a los servidores públicos que trabajan sin descanso contra el fuego en circunstancias extremas.
https://t.co/tUGw8G2oR4","Twitter Web App",280,,,,FALSE,FALSE,306,118,,,,,"google.com/amp/s/amp.elmu…","https://t.co/tUGw8G2oR4","https://www.google.com/amp/s/amp.elmundo.es/espana/2021/08/15/61194d10fdddff9d228b458d.html",,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/InesArrimadas/status/1427025515286827011","Inés Arrimadas","Barcelona","Derecho y ADE. Consultora. Presidenta de @CiudadanosCs <U+0001F34A> Canal de Telegram: https://t.co/eaENMRStZM","https://t.co/2fZ28o6US7",FALSE,690250,1554,2666,7696,1494,2012-04-13 09:35:57,TRUE,"https://t.co/2fZ28o6US7","https://www.instagram.com/inesarrimadas/",,"https://pbs.twimg.com/profile_banners/552561770/1626639609","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1412735838904107014/1yMF5Wpe_normal.jpg"
"x552561770","x1426879570180026370",2021-08-15 12:12:54,"InesArrimadas","Enhorabuena por esta candidatura a la nominación en unos premios tan prestigiosos como los Grammy Latinos. Interpretar, grabar, producir y masterizar un álbum de música clásica íntegramente en remoto durante el confinamiento es un hito histórico. Merecidísimo <U+0001F44F> https://t.co/3fsn1QCIFN","Twitter Web App",261,,,,TRUE,FALSE,93,21,,,,,"twitter.com/yagomahugo/sta…","https://t.co/3fsn1QCIFN","https://twitter.com/yagomahugo/status/1425751906589237250",,,,,,,,,,,"es","x1425751906589237250","Queridos amigos,
Solo comentaros a título informativo , que estoy muy contento ya que mi disco Éclectique está entre los aspirantes a los premios Grammy Latinos
@RevistaRITMO 
https://t.co/pkyMxgNVTC",2021-08-12 09:31:58,"Twitter for iPhone",124,38,"x182398606","yagomahugo","Yago Mahúgo",1220,1611,6049,"Madrid, España","Clavecinista. Catedrático de Música y Artes Escénicas. Doctor en Artes # Solo contenidos musicales# Perfil político en @yagomahugocs.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/InesArrimadas/status/1426879570180026370","Inés Arrimadas","Barcelona","Derecho y ADE. Consultora. Presidenta de @CiudadanosCs <U+0001F34A> Canal de Telegram: https://t.co/eaENMRStZM","https://t.co/2fZ28o6US7",FALSE,690250,1554,2666,7696,1494,2012-04-13 09:35:57,TRUE,"https://t.co/2fZ28o6US7","https://www.instagram.com/inesarrimadas/",,"https://pbs.twimg.com/profile_banners/552561770/1626639609","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1412735838904107014/1yMF5Wpe_normal.jpg"
"x552561770","x1425792177054134277",2021-08-12 12:11:59,"InesArrimadas","La ciudad romana de Baelo Claudia es una joya de nuestro patrimonio situada en un enclave paradisíaco, las maravillosas playas de Cádiz. Es un plan perfecto para disfrutar en familia de la arqueología y el aire libre. ¡Os lo recomiendo!
https://t.co/QgRPzf72Cc","Twitter Web App",260,,,,FALSE,FALSE,355,65,,,,,"infolibre.es/noticias/veran…","https://t.co/QgRPzf72Cc","https://www.infolibre.es/noticias/veranolibre/2021/08/06/ines_arrimadas_pasea_por_baelo_claudia_una_joya_patrimonial_que_permanecio_oculta_mas_mil_anos_123328_1621.html",,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/InesArrimadas/status/1425792177054134277","Inés Arrimadas","Barcelona","Derecho y ADE. Consultora. Presidenta de @CiudadanosCs <U+0001F34A> Canal de Telegram: https://t.co/eaENMRStZM","https://t.co/2fZ28o6US7",FALSE,690250,1554,2666,7696,1494,2012-04-13 09:35:57,TRUE,"https://t.co/2fZ28o6US7","https://www.instagram.com/inesarrimadas/",,"https://pbs.twimg.com/profile_banners/552561770/1626639609","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1412735838904107014/1yMF5Wpe_normal.jpg"
"x552561770","x1425453958294867972",2021-08-11 13:48:01,"InesArrimadas","<U+0001F449> La factura de la luz más cara de la historia
<U+0001F449> El triple por la misma electricidad que hace un año
<U+0001F449> En plena #OlaDeCalor

¿Tiene algo que decir ahora el Gobierno, señor Sánchez? ¿Piensa hacer algo?

El precio de la luz se le ha ido de las manos: déjese de excusas y actúe. https://t.co/V8X7YuiQXa","Twitter Web App",275,,,,TRUE,FALSE,943,467,,,"OlaDeCalor",,"twitter.com/sanchezcastejo…","https://t.co/V8X7YuiQXa","https://twitter.com/sanchezcastejon/status/956203035939819522",,,,,,,,,,,"es","x956203035939819522","En la última década no se había registrado un precio tan alto de la electricidad en España. El recibo ha pasado de 46 euros a 88, casi el doble. ¿Qué tiene que decir el Gobierno? https://t.co/xwuGYS0RSV",2018-01-24 16:32:23,"Twitter for iPhone",1444,1800,"x68740712","sanchezcastejon","Pedro Sánchez",1584234,6036,29942,"","Presidente del Gobierno de #España. Padre. Secretario Gral del @PSOE. Trabajamos por instituciones dignas, la igualdad y la justicia.",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/InesArrimadas/status/1425453958294867972","Inés Arrimadas","Barcelona","Derecho y ADE. Consultora. Presidenta de @CiudadanosCs <U+0001F34A> Canal de Telegram: https://t.co/eaENMRStZM","https://t.co/2fZ28o6US7",FALSE,690250,1554,2666,7696,1494,2012-04-13 09:35:57,TRUE,"https://t.co/2fZ28o6US7","https://www.instagram.com/inesarrimadas/",,"https://pbs.twimg.com/profile_banners/552561770/1626639609","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1412735838904107014/1yMF5Wpe_normal.jpg"
"x552561770","x1425352588174692353",2021-08-11 07:05:13,"InesArrimadas","<U+274C>LOECE
<U+274C>LODE
<U+274C>LOGSE
<U+274C>LOPEG
<U+274C>LOCE
<U+274C>LOE
<U+274C>LOMCE
<U+274C>LOMLOE

Las contrarreformas educativas de PSOE y PP han dado un resultado pésimo.

España necesita un Pacto por la Educación que refuerce la calidad, garantice la igualdad y ofrezca resultados a alumnos, docentes y familias. https://t.co/qRiXir4Rrv","Twitter Web App",270,,,,FALSE,FALSE,1138,525,,,,,,,,"http://pbs.twimg.com/media/E8fekXXXoAMP6vV.jpg","https://t.co/qRiXir4Rrv","https://twitter.com/InesArrimadas/status/1425352588174692353/photo/1","photo","http://pbs.twimg.com/media/E8fekXXXoAMP6vV.jpg http://pbs.twimg.com/media/E8felu0XsAMPqqE.jpg http://pbs.twimg.com/media/E8femYwWQAIcHI9.jpg http://pbs.twimg.com/media/E8fenKZXoAEpvAM.jpg","https://t.co/qRiXir4Rrv https://t.co/qRiXir4Rrv https://t.co/qRiXir4Rrv https://t.co/qRiXir4Rrv","https://twitter.com/InesArrimadas/status/1425352588174692353/photo/1 https://twitter.com/InesArrimadas/status/1425352588174692353/photo/1 https://twitter.com/InesArrimadas/status/1425352588174692353/photo/1 https://twitter.com/InesArrimadas/status/1425352588174692353/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/InesArrimadas/status/1425352588174692353","Inés Arrimadas","Barcelona","Derecho y ADE. Consultora. Presidenta de @CiudadanosCs <U+0001F34A> Canal de Telegram: https://t.co/eaENMRStZM","https://t.co/2fZ28o6US7",FALSE,690250,1554,2666,7696,1494,2012-04-13 09:35:57,TRUE,"https://t.co/2fZ28o6US7","https://www.instagram.com/inesarrimadas/",,"https://pbs.twimg.com/profile_banners/552561770/1626639609","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1412735838904107014/1yMF5Wpe_normal.jpg"
"x552561770","x1425022288429297665",2021-08-10 09:12:43,"InesArrimadas","Con 4 de cada 10 jóvenes en paro, estamos quemando a toda una generación. Les piden experiencia sin que hayan podido trabajar nunca. Es un drama del que solo saldremos con reformas serias.

Nuestros jóvenes se merecen una oportunidad y también un respeto.
https://t.co/zzXIKSv1du","Twitter Web App",279,,,,FALSE,FALSE,715,282,,,,,"elespanol.com/reportajes/202…","https://t.co/zzXIKSv1du","https://www.elespanol.com/reportajes/20210810/triste-futuro-jovenes-imposible-trabajar-experiencia-no/602940791_0.html",,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/InesArrimadas/status/1425022288429297665","Inés Arrimadas","Barcelona","Derecho y ADE. Consultora. Presidenta de @CiudadanosCs <U+0001F34A> Canal de Telegram: https://t.co/eaENMRStZM","https://t.co/2fZ28o6US7",FALSE,690250,1554,2666,7696,1494,2012-04-13 09:35:57,TRUE,"https://t.co/2fZ28o6US7","https://www.instagram.com/inesarrimadas/",,"https://pbs.twimg.com/profile_banners/552561770/1626639609","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1412735838904107014/1yMF5Wpe_normal.jpg"
"x552561770","x1424841408557506566",2021-08-09 21:13:58,"InesArrimadas","Hoy los españoles hemos pagado la luz más cara de la historia. No me quiero ni imaginar lo que estarían haciendo PSOE y Podemos si estuvieran en la oposición pero ahora que están en el Gobierno están centrados en dar a las matemáticas un enfoque ""socioemocional"". https://t.co/nNthHXiErY","Twitter Web App",263,,,,FALSE,FALSE,2175,762,,,,,,,,"http://pbs.twimg.com/media/E8YNe69X0AQ_59o.jpg","https://t.co/nNthHXiErY","https://twitter.com/InesArrimadas/status/1424841408557506566/photo/1","photo","http://pbs.twimg.com/media/E8YNe69X0AQ_59o.jpg http://pbs.twimg.com/media/E8YNfmRXEA0UM9V.jpg","https://t.co/nNthHXiErY https://t.co/nNthHXiErY","https://twitter.com/InesArrimadas/status/1424841408557506566/photo/1 https://twitter.com/InesArrimadas/status/1424841408557506566/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/InesArrimadas/status/1424841408557506566","Inés Arrimadas","Barcelona","Derecho y ADE. Consultora. Presidenta de @CiudadanosCs <U+0001F34A> Canal de Telegram: https://t.co/eaENMRStZM","https://t.co/2fZ28o6US7",FALSE,690250,1554,2666,7696,1494,2012-04-13 09:35:57,TRUE,"https://t.co/2fZ28o6US7","https://www.instagram.com/inesarrimadas/",,"https://pbs.twimg.com/profile_banners/552561770/1626639609","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1412735838904107014/1yMF5Wpe_normal.jpg"
